time,open,high,low,close,High,Low,Mid,Untouched High,Untouched Low,Untouched Mid
2024-06-26T11:45:00+05:30,23806.15,23842.9,23803.35,23828.8,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T12:15:00+05:30,23830.15,23859.5,23827.2,23844.2,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T12:45:00+05:30,23843.75,23850.55,23803.8,23828.25,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T13:15:00+05:30,23828.6,23858.7,23825.1,23844.1,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T13:45:00+05:30,23844.75,23874.55,23843.45,23872.2,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T14:15:00+05:30,23873.05,23882.45,23849.95,23872.9,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T14:45:00+05:30,23871.55,23889.9,23843.2,23875.2,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-26T15:15:00+05:30,23873.5,23887.05,23839.6,23840.25,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T09:15:00+05:30,23887.25,23887.45,23805.4,23857.35,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T09:45:00+05:30,23859.6,23966.4,23854.95,23945.95,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T10:15:00+05:30,23946.1,23974.7,23844.15,23850.95,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T10:45:00+05:30,23849.85,23925.35,23834.3,23922,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T11:15:00+05:30,23921.5,23952.8,23894.15,23947.5,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T11:45:00+05:30,23947.75,24006.15,23931.25,24005.35,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T12:15:00+05:30,24006.7,24015.25,23975.2,23991.65,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T12:45:00+05:30,23991.15,24036.6,23941.5,23961.85,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T13:15:00+05:30,23960.8,23992.15,23931.2,23954.85,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T13:45:00+05:30,23955.4,23995.35,23929.95,23954.35,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T14:15:00+05:30,23955.35,23983,23913.65,23981.3,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T14:45:00+05:30,23981.05,24048.95,23971.2,24045.6,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-27T15:15:00+05:30,24045.4,24087.45,24036.1,24036.1,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T09:15:00+05:30,24095.45,24174,24062.85,24155.45,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T09:45:00+05:30,24155,24171.9,24124,24133.15,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T10:15:00+05:30,24134.05,24150.9,24105.15,24138.8,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
